card name,question,answer
"","Is the state of the Storyline archived? Does the Storyline get restored to its snapshotted state?","No! The Storyline isn't archived, and it simply continues to resolve normally after Kairos's deathrite. For example, I have Infernal Legion in the realm on square 8. Then I summon Kairos and the realm is archived. The Infernal Legion moves to square 3, and I summon Vatn Draconis. During my End Phase, I have ((simultaneous triggers)) for Infernal Legion and Vatn Draconis. I choose to order the storyline with Vatn Draconis first, then Infernal Legion. So I resolve Vatn Draconis's ability, which kills Kairos. Kairos's deathrite goes on the storyline and resolves before the Infernal Legion ability. When I archived the realm, the storyline was empty. But that doesn't matter because the storyline is different from the realm. We return cards to their recorded state, placing the Infernal Legion back on square 8, and then continue resolving the current storyline, so the Infernal Legion's ability resolves when it's on square 8, even though the ability was added to the storyline when the Legion was on square 3."
"Karkemish Chimera","Units A, B, and C are being attacked; can unit D defend the attack and protect A, B, and C, or just one of them?","Just one; you must choose unit A, B, or C to be defended."
"","Units A, B, and C are being attacked; can unit A defend the attack against B, so that B takes no damage?","No, since A is already being attacked, they cannot take the Defend reaction."
"","Do each of the attacked units take 6 damage, or is the damage split as the attacker chooses?","The damage is split as the attacker chooses."
"Key to the City","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"","How does this ability work?","Site abilities cannot target, damage, destroy, banish, modify, move, or impede the movement or attacks of the bearer of the Key. Additionally, site abilities cannot cause the bearer to lose or gain life, and cannot affect healing the bearer receives. For example: Gnome Hollows will not stop a 3+ power Key bearer from entering. A Key bearer can walk over a Perilous Bridge on the ground. Remote Desert will not damage a Key bearer. Poisoned Well cannot cause the bearer to lose life. An Avatar Key bearer will not gain life from Holy Ground or lose life from Poisoned Well. An Avatar Key bearer will not have its healing reduced by River of Blood. (The Avatar itself must hold the Key to ignore the half healing effect from River of Blood.) Fields of Camlann will not destroy a Key bearer, even when it's not the chosen minion. River Rapids can't move a Key bearer. Many site effects won't apply, as part of 'can't be modified': Gilman House can't transform a Key bearer Babbling Brook can't disable a Key bearer Bog can't immobilize a Key bearer Silent Hills can't silence a Key bearer Road to Perdition can't increase or decrease a Key bearer's power Accursed Desert can't break a Key bearer's Ward Some site abilities will continue to work: Wizard's Den will still allow a Key bearer Avatar to draw a spell (since players actually draw spells, not units). Garden of Eden will still stop a Key bearer Avatar from drawing extra spells (since players actually draw spells, not units). Beacon will still count an enemy Key bearer. Asmodeus with the Key still can't destroy a Bedrock. A Key bearer Avatar will still have to pay (2) extra for Bureau of Occult Control, since gaining and paying mana is done by the player. A Key bearer Avatar will still be able to use the threshold provided by The Empyrean's site ability, since tracking threshold is done by the player. [[The Void]] ))site(( would still banish a non-voidwalk minion Key bearer, since the game itself is banishing the minion."
"","How does this ability interact with Flooded sites?","The Flooded ability gives a site a minimum of 1 water threshold, making it a water site. Even a bearer of Key to the City will see the water threshold and treat it as a water site. e.g. It will die in the subsurface if it doesn't have Submerge, it can't be forcefully Burrowed, etc."
"Khamaseen Mummy","What happens if I use this to trigger the Genesis ability of a site my opponent controls?","The controller of the site will be the one to resolve the Genesis ability. So in the case of a Desert, your opponent will choose the nearby site where damage is dealt. For a River, your opponent will be the one to look at their next spell and choose to put it on the bottom of their spellbook."
"King Arthur","What happens if King Arthur is in the realm and my opponent would control a card I own?","While King Arthur rules the realm, if your opponent would control a card you own, you control it instead (applying equally for both players). For example: My opponent plays [[Lilith]] then summons a minion from my deck. My opponent would normally control a minion they summoned, but I control it while King Arthur is in the realm. I play [[Heirloom Lost]], [[Postern Gate]], [[Desecrate]] to get a [[Desecrated Ground]], etc. My opponent would normally control that site I own, but I control the site while King Arthur is in the realm. I play any Relic (e.g. [[Ring of Morrigan]]) and my opponent takes it somehow (e.g. [[Swap]]). My opponent would normally control that relic while carrying it, but I control it while King Arthur is in the realm. Even if I control it, my opponent's unit is still the bearer and can benefit from bearer abilities. Since I control it, terms like 'ally' and 'enemy' apply from my perspective (the controller). If it's dropped, no one controls it, as normal. I animate my aura via Enchantress. You play [[Mesmerism]] on it. Even after it returns to being a normal aura, you would normally control it, but I control it while King Arthur is in the realm."
"","How does the Philosopher's Stone work with multi-element cards, such as King Arthur and Queen Guienevere? Would King Arthur, who requires 4 mana, cost 3 or 0 Mana to cast using the Stone?","Cards that have different element symbols count as a spell of each of those affinities. So Arthur and Guinevere are each an Air spell, an Earth spell, a Fire spell, and a Water spell, all at the same time. But you are still casting them together as a single spell. So, assuming Arthur is your spellcaster's first spell of the turn, the Stone will offer a discount of 1 mana for Arthur, making him cost 3 mana. 

This also means that when Arthur is played he uses up the Stone for that spellcaster's turn because he's simultaneously the first Air, Earth, Fire, and Water spell played this turn. So the Spellcaster cannot continue to use the stone that turn."
"King of the Realm","What Mortals are affected by the first ability?","All Mortals, anywhere in the realm."
"","If a Mortal with Deathrite dies, who gets the Deathrite ability?","The King's controller, since Deathrite triggers while the units are technically still in the realm."
"","What happens if a second King of the Realm enters play?","See '((Example - Two Kings of the Realm))' in the codex."
"","If my opponent plays a Mortal with a Genesis ability and I have a King in play, who gets the Genesis ability?","The player with the King gets the benefit, since they control the Mortal as soon as it's in play."
"Kingdom of Agartha","If Kingdom of Agartha's ability is active, can I choose to summon minions underground without a printed Burrowing ability?","Yes. Kingdom of Agartha affects minions everywhere."
"","When is Kingdom of Agartha's ability active?","Whenever you have three earth affinity! It is not optional; it's a passive ability that's always on while you have the necessary affinity."
"Kythera Mechanism","How does this interact with Court Jester?","You don't get to look at your opponent's hand, but you do get to choose which of their cards they discard (e.g. site or spell)."
"","If two are played, which one takes precedence?","The most recently played one. See 'ongoing effects' for more details."
"","If there are two in play (and mine was played first), then I drop mine and pick it back up, do I take precedence?","No. Competing passive abilities are tracked based on when the card entered play."
"Lacuna Entity","What happens if the power of one of the units changes during the resolution of this effect so that it's no longer weaker?","Only check that the target is weaker when it is initially targeted, and when the effect first starts to resolve from the storyline. Once the effect is resolving and minions are moving, it does not matter if the relative powers change after that point."
"","What happens if I cast Lacuna Entity to a void location and then pull in a minion with a passive ability which will silence or disable the Entity?","If the Entity pulls in something which will remove its abilities (e.g. [[Sisters of Silence]]) then the Entity will briefly find itself in the void without the voidwalk ability, and will be banished. It will have already pulled the other minion to its location, however. Note that if it pulls in a minion which disables other minions 'at rest,' such as a [[Hillock Basilisk]], the Entity will not be at rest until after that minion has finished moving and passives are applied. This means the Basilisk would be banished before it could disable the Entity."
"Land Deed","What happens if I have a minion that occupies more than one site (e.g. Mountain Giant) and also carries Land Deed?","Land Deed only grants you control of the site that Land Deed occupies."
"","If I gain control of a site in the middle of my turn, does it produce mana immediately?","No. Sites produce mana at the start of your turn and when they enter the realm. Since the site with Land Deed was already in the realm, it doesn't produce mana merely because you took control of it."
"","What happens if I have a Land Deed on Rubble?","You control the Rubble and your avatar will lose life if the Rubble takes damage, but the Rubble still doesn't provide mana. i.e. you own a hunk of worthless rock!"
"Lava Salamander","What counts as a 'fire spell'?","Once a minion, aura, or artifact enters the realm, it is no longer considered a 'spell.' Magic never enters the realm, so it is still considered a spell while it is resolving. In effect, Lava Salamander is immune to fire Magic."
"Leap Attack","Does this card count as an 'attack' since it has the word 'attack' in its name?","Sorry for the confusion, but no, this is not actually an attack! You only get an 'attack' from the Move and Attack basic ability, or card text that specifically uses the word attack (e.g. Crave Golem). This card text uses the word 'strike,' which means the unit simply deals damage equal to its power (and there's no chance for the opponent to Defend, and you can strike Stealthed or Airborne units, etc.)"
"Legion of Gall","What if there are fewer than three cards in the chosen collection?","You banish all of the remaining cards."
"Lightning Bolt","Can I lightning bolt the void?","Yes, but only if the spellcaster is in the void (since Lightning Bolt targets, the spellcaster must be in the same region)."
"Lilith","What happens if Lilith summons a minion with an end of turn ability (e.g. Infernal Legion)?","Their ability will not trigger this turn."
"","Who controls the summoned minion?","The controller of Lilith. Note cards always go to the cemetery of their owner, regardless of their controller."
"Locusts of Illyria","Do I summon a copy the turn I first summon the Locusts?","Yes! At the end of the turn you first summon them, they will see that there are no 'new' Locusts (meaning Locusts summoned by the triggered ability), and thus summon a copy. The following turn if you still have two in the realm, you'll only get one more."
"Lord of Fear","What does 'defend alone' mean?","When the Defend window closes (see '((Attack))' in the codex for details), If only a single enemy unit uses the Defend ability, the Defender is removed from the fight and the original attack target is reinstated. Defenders still arrive one at a time, but if there's only one, the defense effectively is negated (though that one defender still got to tap and move to the attack's location)."
"Lord of Greed","How do I properly resolve this effect?","Lord of Greed may and must take a carriable artifact from anywhere in the realm, including from another unit sharing a location with him. In this case, 'elsewhere' means anywhere other than Lord of Greed's hands! He will take from allies as well. This does not target the artifact, so even artifacts carried by minions with stealth are not safe from Lord of Greed."
"Lucky Charm","The alpha and beta text is different, which should I use?","The beta text is correct."
"Lure","Can my allied minion tempt an enemy in a different region to take a step closer?","Yes, as long as they occupy a nearby site, they can be above or below that site.  However, they cannot be tempted to take a step into a region they couldn't normally move into (e.g. they cannot be made to step underground if they do not have Burrowing)."
"","If the tempted enemy has multiple equally closer steps, who chooses the specific step taken?","The caster of this spell determines among the equally closer choices."
"Maddening Bells","If Maddening Bells tries to increase the cost of a spell that has an alternate casting cost of zero (e.g. Deathspeaker ability while on death's door, Aramos Mercenaries), what happens?","The spell costs zero. See '((Cost))' for more details."
"","When summoning minions, does Maddening Bells care about the location where the minion is summoned, or where the spellcaster is?","Only where the spellcaster is, not the summoning location."
"","If the Spellcaster is nearby Maddening Bells but the spell affects something not nearby, does it still cost 2 extra mana?","Yes. Maddening Bells's ability only cares about the Spellcaster's position."
"Maelström","Does the movement get resolved simultaneously?","Yes, all the steps are simultaneously resolved (which might then provoke a variety of triggers)."
"","If I choose to pull a minion, do I have to pull all minions?","Yes."
"","Can I use Floodplain before Maelström triggers?","No. Floodplain is an activated ability, which can only be activated during your Main Phase."
"","Consider the group of sites below. An oversized minion occupies 1-2-4-5. Maelström is #5. Can the oversized minion be pulled in any way?","Yes. When pulling or pushing an oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect), and push/pull from there. So, assuming Sites 2 and 4 are water sites as well, you could choose Site 2: Oversized minion is pulled South, and ends up at 4-5-7-8. OR, choose Site 4: Oversized minion is pulled East, and ends up at 2-3-5-6. OR, choose Site 5: Oversized minion isn't pulled at all."
"Magellan Globe","If Magellan Globe is in play, can an aura or an oversized unit be cast on the edge of the realm, spanning the realm?","Yes. Ensure that the game state is clear, so all players know which sites the aura occupies, using notes as needed."
"","What happens if I cast a spell that does grid-based damage?","The grid can span edges of the realm as needed, since they are connected."
"","Will effects that check 'adjacent' or 'nearby' (e.g. Poison Nova) span edges of the realm?","Yes."
"","Can projectiles go around the edges of the realm?","Yes, as long as they don't change regions. There are exactly four regions in Sorcery: Surface, Void, Underwater, Underground."
"","Can I play Earthquake or other similar 2x2 area effects around the edge of the realm with Magellan Globe in play?","Yes."
"","Can Airborne units in one corner of the realm fly directly to the opposite corner if Magellan Globe is in the realm?","Yes."
"","If Magellan Globe is in play and an Oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","Since Magellan Globe is an ongoing effect that connects the top and bottom edges, the oversized unit can occupy 2 locations on the top row and 2 locations on the bottom row. Ensure that game state is clear, using notes as needed."
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied. If there's no legal position anywhere in the realm for a minion, it dies. If there's no legal position anywhere in the realm for an avatar, shrink it until there is a legal position (Avatar controller's choice), and place it there."
"","Are there any other corner cases for Magellan Globe?","I think you mean edge cases! Let us know if you think of any more we should add. In general, apply the golden rule and have fun!"
"Magician","What if an effect directs me to draw a spell, but it turns out there's a site on top of my spellbook?","All cards in your spellbook are considered spells while in your spellbook, so you can draw it normally."
"","What if an effect directs me to draw a site?","You have no atlas, and thus any effect that causes you to draw sites will not resolve. You don't draw any cards and you don't lose the game. You cannot choose to draw from your atlas in your start phase."
"","What if an effect specifies a spell or site from a zone other than my spellbook?","If an effect cares about spell vs. site while the card is outside of your spellbook, you must follow the effect correctly at the moment the effect resolves. Several examples: If resolve Stone Rain, you must honestly state how many sites you have in your hand at that moment. You can partially remove cards from their sleeves and show the back to demonstrate the accurate count to your opponent, or call a judge in a tournament if you have foil cards (or double sleeve your cards with different inner color sleeves in the case of foils). If your opponent plays Pith Imp, you must honestly specify your spells in hand, and randomly select from only those. If your opponent attacks your Wizard's Den for the first time and you don't have any spells in hand, you must honestly demonstrate to your opponent that you only have sites in hand. If you play Sisters of Avalon and have no spells in hand, you must honestly demonstrate to your opponent that you have no spells. After an effect resolves that requires you to reveal the number of spells and sites in your hand, you may then mix up the cards in your hand again so that your opponent doesn't know which cards are spells and which are sites."
"","Am I required to sleeve my cards, and if so, how should I do it?","You are required to sleeve your cards, and they should all be the same. Cards in your spellbook and collection should be indistinguishable whether they are sites or spells."
"Makeshift Barricade","If I do 1 damage to three minions simultaneously, does the Barricade break?","Yes, because 1+1+1 = 3 damage dealt all at the same time."
"Mariner's Curse","What if this is animated by an Enchantress?","If an animated Mariner's Curse moves and enters a water site, it will submerge itself (if possible) and die (assuming it doesn't have Submerge). If it hasn't died, it will then return itself to its owner's hand. It will not have a chance to attack before its effect resolves, because the move happens before the attack."
"","If I Grapple Shot a minion with Submerge through an area affected by Mariner's Curse, what happens?","When the Grapple Shot projectile hits the unit, the game adds specific movement steps for the ally to the Storyline: Move A (surface) -> B (surface), Move B (surface) -> C (surface). Then, we start resolving those steps. If Mariner's Curse is on site B, once the unit being dragged reaches site B, it will be submerged, and live. Then the game tries to resolve Move B (surface) -> C (surface), which fails, since the unit isn't on the surface of site B anymore. Thus, there's no strike from Grapple Shot since it didn't reach the hit unit's location."
"","An oversized unit occupies a specific site and then moves. After the move, it still occupies that site. Did it enter the site?","No. It was already there, and remained there (though it may have entered different sites due to its move)."
"Mask of Mayhem","If I double twice, is it multiplied by 4?","Yes."
"","What happens if the striking unit and the unit-being-struck are at different locations (e.g. from a unit with the Ranged ability, or Quarrelsome Kobolds)?","The strike occurs at the location of the unit being struck. If the unit being struck is nearby the Mask, they will take double damage."
"","My minion starts nearby the Mask and thus must attack. During my Move and Attack mandatory action, my minion moves so that it's no longer near the Mask. Do I still have to attack?","No, since you do not actually attack until after moving. If your minion is no longer nearby the Mask, you are not required to attack after moving."
"Master Tracker","What does it mean to 'permanently lose stealth'?","Simply remove the stealth token. It does not prevent the minion from gaining stealth later."
"","Once the Master Tracker leaves play, does a future enemy that arrives with Stealth still have stealth?","Yes. But enemies that already lost Stealth won't regain it."
"Mayor of Milborne","Does this buff my opponent's Mortals as well?","Yes! The Mayor wants as many votes as possible!"
"Megalurker","Can this Genesis effect drag a minion into a different region?","Yes, due to the golden rule. Because avatars cannot enter non-surface locations, if one is being dragged by this effect they will be dragged as far as they can while staying within the surface region."
"Megamoeba","If I play Dodge Roll on my Megamoeba, does the attack still go through because the Megamoeba is still occupying the original location?","Yes, the target is still valid, but Megamoeba now has +1 power from the extra location it occupies thanks to Dodge Roll."
"","If my opponent uses an effect that moves sites (e.g. Atlas Wanderer, Earthquake, etc.), what happens?","Megamoeba moves with the site. Megamoeba is mostly treated a normal size unit for movement effects."
"","If Megamoeba starts at 2 power, can it move into Gnome Hollows (thus getting to 3 power)?","Yes. First, Megamoeba enters, then it grows in power immediately after entering."
"","What happens if Megamoeba is the target of Whirling Blades?","The Megamoeba moves 2 steps by extending a pseudopod twice (possibly from two different starting locations), and gains 2 power. Then, it strikes all enemies in the starting and destination locations of the pseudopods that took the steps."
"","When the Megamoeba is teleported, does its passive ability still apply?","Yes. A single pseudopod enters the teleportation destination, and the Megamoeba can become a single oversized unit that spans non-adjacent squares. The Megamoeba is weird."
"","What happens if Megamoeba is in a Silence aura?","As soon as it enters the Silence aura, it loses its abilities, but size is considered a characteristic and thus persists. Therefore, it continues to occupy all the locations, but it doesn't get the +1 power per location. It will move like any other oversized unit (albeit potentially strangely shaped)."
"","Can Megamoeba declare a movement to a location it already occupies? (e.g. if it wanted to move an artifact it was carrying)","Yes. Megamoeba is weird."
"","What happens when Megamoeba gets pulled / pushed?","Choose a specific location it occupies and pull / push a single pseudopod from there."
"","If the Megamoeba occupies a site with an enemy, can the Megamoeba take the Move and Attack basic ability to move first, and then attack that original enemy, thus growing in power beforehand?","Yes."
"","If the Megamoeba occupies a site with an enemy, and the Megamoeba moves to a different site without attacking, can the enemy intercept?","Yes! If Megamoeba uses Move and Attack, then doesn't attack, any enemy that shares a location with them may tap to intercept."
"","What happens if Megamoeba gains burrow or submerge?","It can occupy both the surface location and the subsurface location on a site, and each occupied location will grant +1 power, per card text. 40 power Megamoeba, here we come!"
"","What happens if Megamoeba is forcefully burrowed or submerged without the burrow or submerge ability?","If any part of unit occupies an inhospitable location, it dies. So, the Megamoeba would die in this case."
"","What happens when the Megamoeba gets carried?","It occupied all the locations it was carried through."
"Mephistopheles","How do I resolve this effect?","If you cast Mephistopheles, your Avatar is banished. Mephistopheles is now your Avatar. He retains Unique rarity, Demon type, and Air element, but he's no longer a minion and only an Avatar. Your current and maximum life remain the same. Notably, you won't be able to play sites normally because Mephistopheles doesn't have that ability. You will still be able to cast spells because Avatars are spellcasters as one of their characteristics. If you manage to summon Mephistopheles without casting him, then he will not replace your avatar, but his second ability will still function."
"Merlin","How does Merlin's ability work and what does 'any time' actually permit?","This is a passive ability, usable any time on your turn, including during your start phase before you draw a card. But, you may still only cast spells when they are normally permitted to be cast (i.e. during your Main Phase when nothing else is on the storyline other than this ability). Technically, if a Crave Golem were attacking during your Start Phase, Merlin could cast a Dodge Roll then!"
"Meteor Shower","Can I choose sites that share a corner?","Yes. 'Border' means adjacent squares, not including diagonals."
"Mimic","How does this ability work?","When you summon Mimic, you can choose to summon it normally, or instead you can choose a carriable artifact anywhere in the realm. That artifact is banished, and the Mimic is placed at the artifact's location instead as it transforms.  You control the Mimic, and if the artifact did not enter the realm this turn, the Mimic doesn't have Summoning Sickness. It turns out that artifact was a Mimic in disguise all along!"
"Miracle Workers","If multiple minions including Miracle Workers die at the same time on Geistwood, can Miracle Workers return themselves and/or another minion that's dying to your hand?","No, because Miracle Workers only return minions from the cemetery, and deathrites resolve while the minions are still in the realm. The Miracle Workers could return other minions that died earlier that turn and were in the cemetery."
"Mirage","What happens if I try to use Mirage's alternate play text when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). Mirage's ability cannot be combined with Pathfinder."
"Mirror Realm","How do Smokestacks of Gnaak and Mirror Realm interact?","By the time Mirror ))Realm(( enters the realm, it's already a copy. Thus, it can copy a nearby site, and then promptly loses all abilities of that copied site (but still is the copy, without abilities). See '((Apply Ongoing Effects In Order))' in the codex for nitty-gritty details."
"","What if Mirror Realm loses its abilities after it enters play (e.g. Smokestacks of Gnaak is played later)?","Mirror ))Realm(( remains a copy, but any abilities that were printed on the original site are now ignored."
"","Does Mirror Realm also copy the rarity of the chosen site?","Yes, it's as if you had the exact same card."
"","Can Mirror Realm copy Rift Valley and enter the realm in the special way, as long as it ends up nearby the Rift Valley that it's copying?","Yes."
"","What happens if Mirror Realm copies a Rubble?","If Mirror Realm copies a Rubble, you gain no mana. You still control the Rubble, it can be attacked normally, you can play sites adjacent to it, it can be replaced by a site normally, etc. Track it carefully, distinct from other uncontrolled Rubble in the realm."
"Mismanaged Mortuary","Once this is in play, do I put cards into the cemetery that I own or the cemetery that I control?","You always put your cards into the cemetery you own (the one nearby your deck)."
"","If I have Wormelow Tump in play, what happens?","The cemeteries are still swapped, and you protect everything in 'your' cemetery (which is really your opponent's)."
"","If there are an even number of Mismanaged Mortuaries in play, do they cancel out?","Yes."
"Monstermorphosis","If I transform an enemy minion into a Monster from my hand or Horrible Hybrids from my collection, who controls it?","The controller of the minion does not change when transforming, so in that case your opponent would control it. Note cards always go to their owner's cemetery so when that minion dies it will go to your cemetery."
"Moonsong Talagelum","Since this 'counts as Grey Wolves' does that mean I can include any number of it in my spellbook?","No. The phrase 'counts as Grey Wolves' means that other cards will see it as being named 'Grey Wolves' in addition to its normal name. You still must follow rarity restrictions."
"Morgana le Fay","Where do I keep Morgana's hand of cards?","See '((Only It Can Cast))' in the codex."
"","What happens to Morgana's hand if she is silenced or disabled?","Her hand of cards continues to exist in its own zone, though Morgana can no longer cast those spells without the Spellcaster ability. Since you control Morgana, you can still look at the cards."
"","What happens my opponent gains control of my Morgana?","Your opponent will be able to have Morgana cast the spells in her hand, assuming they have the mana and appropriate threshold. You can't look at the cards in her hand while you don't control her. Remember that cards always return to their owner's cemetery, hand, or decks when leaving the realm after being played from Morgana's hand, regardless of who controls her."
"","What happens to Morgana's hand if she is transformed into something else? A frog, for instance?!","If Morgana is transformed, the ongoing effect which created her hand of cards will continue to apply, and the hand will continue to exist. If Morgana's new form does not have the ability to cast spells, she will not be able to cast them, but if she becomes a spellcaster again she will still have access to her hand."
"Mother Nature","Does 'here' mean Mother Nature's location or site?","'Here' references Mother Nature's exact location."
"Mount Ussar Sanctuary","When I flee, is it step by step movement or teleportation?","It's step by step movement!"
"","After fleeing, if I somehow fail to reach the Sanctuary, do I still gain the Ward?","No!"
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"Mountain Giant","What happens if a Mountain Giant occupies a Silence aura?","A card's size is generally set when it enters the realm, and is considered one of its characteristics, not an ability. It will not resize."
"","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"","If Magellan Globe is in play and an Oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","Since Magellan Globe is an ongoing effect that connects the top and bottom edges, the oversized unit can occupy 2 locations on the top row and 2 locations on the bottom row. Ensure that game state is clear, using notes as needed."
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied. If there's no legal position anywhere in the realm for a minion, it dies. If there's no legal position anywhere in the realm for an avatar, shrink it until there is a legal position (Avatar controller's choice), and place it there."
"Mountain Pass","You have a minion on my Mountain Pass. Can I summon a minion on the site?","Yes. Though summoning is included in 'entering,' it is not moving on the ground. So you can summon all you want, since summoning isn't moving."
"","Your minion attacks my Mountain Pass. Can my adjacent minion defend?","No, assuming the minion is beginning on the surface of a site and doesn't have the airborne ability.  Because another minion is already on the surface of the Mountain Pass, that location will not be within your minion's range of motion, and so it cannot activate the defend ability."
"","What does 'enter this site on the ground' mean?","Entering on the ground only covers movement from the surface of another site to the surface of the Mountain Pass, excluding Airborne and teleportation."
"","I have a minion on my Mountain Pass, and a voidwalk minion on an adjacent square. Can I move from the void to Mountain Pass?","Yes, since moving on the ground requires the unit to start from the surface of a site. Since the void isn't a site, moving from the void to Mountain Pass isn't considered moving on the ground."
"Mudflow","Once I target the site, do I also pick 'surface' or 'unburrow?'","No, you simply target the site, and then the proper action is applied. If a water site is the target, minions there are surfaced. If a land site is the target, minions there are unburrowed."
"Mudslide","Do I pick left or right for all units together, or can I choose different directions?","Choose left or right, and apply it to every unit at land sites in the column."
"","Does this effect span the void?","Yes."
"Occult Ritual","The alpha, alternate art version of this card from the pledge pack has the text 'Spellcaster nearby,' while the regular foil and non-foil versions have the text 'Spellcaster here.' which is correct?","The normal version is correct. The text should be 'Spellcaster here.' The alternate art version is not legal for tournament play."
"Old Salt Anchorman","Does this ability protect my minions from movement effects like forceful burrowing (e.g. Bury), submerge (e.g. Drown), and teleportation (e.g. Chaos Twister)?","Yes, all of those effects are movement. With Chaos Twister, don't even attempt to blow the card if the target is an ally nearby Old Salt Anchorman."
"","Does this ability prevent my opponent from rearranging sites? (e.g. Earthquake, Atlas Wanderers)","No, your opponent can still rearrange sites, because that doesn't count as moving the units, just the sites."
"","Does this ability stop effects which cause an ally to take their own steps (e.g. Guile Sirens, Coy Nixie, Lure)?","No. Sailors historically have trouble resisting the siren's call."
"Onslaught","How does this Magic work?","Onslaught creates an ongoing effect which lasts the duration of your turn and continually prevents your units from being immobilized, silenced, or disabled. A minion cast after Onslaught resolves would be protected, and would gain +1 power and Charge. Note that Onslaught does not remove any ongoing effects which may be disabling, silencing or immobilizing your units, it just suppresses them for the duration of your turn.  For example, if you play Onslaught and then summon a [[Slumbering Giantess]], her Genesis ability will still resolve, and she will be disabled when the effect of Onslaught wears off. For the duration of your turn, however, she will have +1 power and Charge, and will ignore the disable effect from her Genesis ability."
"Onyx Core","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"Orb of Ba'al Berith","Is the Orb the spellcaster for the copied spell?","Yes."
"","If I cast a Magic with X in the cost, does the copy have the same value of X too?","Yes. The Orb copies the spell after costs have been paid, so X is a set value."
"","If I cast a spell with an additional cost (e.g. Craterize), do I need to pay the additional cost again?","No. The Orb copies the spell after costs have been paid."
"","Can I target the same site twice when casting two copies of Craterize with Orb?","You technically can, but beware! If the first Craterize successfully destroys the targeted site, the second Craterize will no longer have a valid target in the realm and will fail, resulting in no damage from that copy of Craterize."
"","Who controls the copied Magic?","The original caster of that Magic controls the copy made by the Orb."
"Order of the White Wing","Does the minion that's being summoned from elsewhere enter the realm for a moment before it's banished?","No, it doesn't ever enter the realm. For example, it will not trigger a Genesis, it will not get a Lance, it will not trigger a Mariner's Curse, etc. It doesn't actually enter the realm at all, since this is a replacement effect."
"","Does this prevent minions from being cast from other 'hand' zones (e.g. Morgana le Fay, or an Omphalos)?","Yes. The Order prevents minions from being summoned from anywhere except directly from a player's hand."
"Ormund Harpooneers","Does the target need to be in the same region as the Harpooneers?","No. Normally the answer is yes, but the card text 'above or ((below))' means that normal targeting restrictions are ignored, and the Harpooneers can be in any region (surface, underground, underwater, or in the void). As long as there is an adjacent Water site to the Harpooneers and a minion occupying that water site, it will get pulled to the Harpooneers' location."
"","Does the 'adjacent Water site' need to be in the same region as the Harpooneers?","No. Because the Water site is not targeted, and because the card text uses 'site' instead of 'location,' the site does not need to be in the same region as the Harpooneers."
"Orpheus' Crossing","On my turn when I go to Death's Door, can I still take damage and lose life?","Yes. You cannot lose the game due to taking damage, but taking damage and losing life will reduce your life total if possible. See '((Death's Door))' for more details."
"Pact with the Devil","If a non-minion (e.g. River of Flame, or Orb of Ba'al Berith) is the spellcaster, can I sacrifice it?","Yes!"
"","Do you round up your life loss, or round up your ending life?","Round up the life loss. For example, if you had 3 life, you'd lose 2, ending up at 1."
"Panpipes of Pnom","Does this cause a zero power unit to deal 2 damage when striking?","Yes, this effect will cause zero power units to strike for 2 damage."
"Pathfinder","The alpha and beta text is different, which should I use?","The beta text is correct."
"","Where does Pathfinder play its first site turn 1?","You must play your first site turn 1 under the Pathfinder per the game rules."
"","Does Pristine Paradise provide mana the turn the Pathfinder plays it from the atlas? That is, does the site have enough time to make mana before the Pathfinder moves onto it?","Yes, sites immediately generate mana when they come into play."
"","What happens if I try to use Mirage's alternate play text when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). Mirage's ability cannot be combined with Pathfinder."
"","If I have no sites but it's not the first turn (e.g. Roots of Yggdrasil destroyed everything) and I use the Pathfinder's ability, am I forced to play the site under the Pathfinder's current location, or could I play the site adjacent?","Since it's not the first turn of the game, you aren't forced to play under yourself. The Pathfinder offers an alternate way to play sites, and thus you could play it adjacent if you wanted."
"","What happens if I try to use Rift Valley's ability when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). With Rift Valley, you could use its ability to make a void adjacent to Pathfinder, then play it there (and Pathfinder would then move there)."
